,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,alone,target
801,2,female,31,1,1,26.25,S,Second,woman,False,NaN,False,1
294,3,male,24,0,0,7.8958,S,Third,man,True,NaN,True,0
459,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,0
420,3,male,NaN,0,0,7.8958,C,Third,man,True,NaN,True,0
445,1,male,4,0,2,81.8583,S,First,child,False,A,False,1
648,3,male,NaN,0,0,7.55,S,Third,man,True,NaN,True,0
776,3,male,NaN,0,0,7.75,Q,Third,man,True,F,True,0
830,3,female,15,1,0,14.4542,C,Third,child,False,NaN,False,1
98,2,female,34,0,1,23.0,S,Second,woman,False,NaN,False,1
257,1,female,30,0,0,86.5,S,First,woman,False,B,True,1
138,3,male,16,0,0,9.2167,S,Third,man,True,NaN,True,0
513,1,female,54,1,0,59.4,C,First,woman,False,NaN,False,1
12,3,male,20,0,0,8.05,S,Third,man,True,NaN,True,0
406,3,male,51,0,0,7.75,S,Third,man,True,NaN,True,0
348,3,male,3,1,1,15.9,S,Third,child,False,NaN,False,1
611,3,male,NaN,0,0,7.05,S,Third,man,True,NaN,True,0
396,3,female,31,0,0,7.8542,S,Third,woman,False,NaN,True,0
606,3,male,30,0,0,7.8958,S,Third,man,True,NaN,True,0
478,3,male,22,0,0,7.5208,S,Third,man,True,NaN,True,0
37,3,male,21,0,0,8.05,S,Third,man,True,NaN,True,0
836,3,male,21,0,0,8.6625,S,Third,man,True,NaN,True,0
359,3,female,NaN,0,0,7.8792,Q,Third,woman,False,NaN,True,1
1,1,female,38,1,0,71.2833,C,First,woman,False,C,False,1
462,1,male,47,0,0,38.5,S,First,man,True,E,True,0
523,1,female,44,0,1,57.9792,C,First,woman,False,B,False,1
668,3,male,43,0,0,8.05,S,Third,man,True,NaN,True,0
616,3,male,34,1,1,14.4,S,Third,man,True,NaN,False,0
263,1,male,40,0,0,0.0,S,First,man,True,B,True,0
780,3,female,13,0,0,7.2292,C,Third,child,False,NaN,True,1
233,3,female,5,4,2,31.3875,S,Third,child,False,NaN,False,1
109,3,female,NaN,1,0,24.15,Q,Third,woman,False,NaN,False,1
584,3,male,NaN,0,0,8.7125,C,Third,man,True,NaN,True,0
483,3,female,63,0,0,9.5875,S,Third,woman,False,NaN,True,1
169,3,male,28,0,0,56.4958,S,Third,man,True,NaN,True,0
432,2,female,42,1,0,26.0,S,Second,woman,False,NaN,False,1
175,3,male,18,1,1,7.8542,S,Third,man,True,NaN,False,0
632,1,male,32,0,0,30.5,C,First,man,True,B,True,1
469,3,female,0.75,2,1,19.2583,C,Third,child,False,NaN,False,1
563,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
846,3,male,NaN,8,2,69.55,S,Third,man,True,NaN,False,0
216,3,female,27,0,0,7.925,S,Third,woman,False,NaN,True,1
107,3,male,NaN,0,0,7.775,S,Third,man,True,NaN,True,1
506,2,female,33,0,2,26.0,S,Second,woman,False,NaN,False,1
822,1,male,38,0,0,0.0,S,First,man,True,NaN,True,0
245,1,male,44,2,0,90.0,Q,First,man,True,C,False,0
452,1,male,30,0,0,27.75,C,First,man,True,C,True,0
811,3,male,39,0,0,24.15,S,Third,man,True,NaN,True,0
390,1,male,36,1,2,120.0,S,First,man,True,B,False,1
299,1,female,50,0,1,247.5208,C,First,woman,False,B,False,1
662,1,male,47,0,0,25.5875,S,First,man,True,E,True,0
268,1,female,58,0,1,153.4625,S,First,woman,False,C,False,1
189,3,male,36,0,0,7.8958,S,Third,man,True,NaN,True,0
363,3,male,35,0,0,7.05,S,Third,man,True,NaN,True,0
597,3,male,49,0,0,0.0,S,Third,man,True,NaN,True,0
19,3,female,NaN,0,0,7.225,C,Third,woman,False,NaN,True,1
403,3,male,28,1,0,15.85,S,Third,man,True,NaN,False,0
149,2,male,42,0,0,13.0,S,Second,man,True,NaN,True,0
218,1,female,32,0,0,76.2917,C,First,woman,False,D,True,1
803,3,male,0.42,0,1,8.5167,C,Third,child,False,NaN,False,1
319,1,female,40,1,1,134.5,C,First,woman,False,E,False,1
540,1,female,36,0,2,71.0,S,First,woman,False,B,False,1
72,2,male,21,0,0,73.5,S,Second,man,True,NaN,True,0
249,2,male,54,1,0,26.0,S,Second,man,True,NaN,False,0
371,3,male,18,1,0,6.4958,S,Third,man,True,NaN,False,0
228,2,male,18,0,0,13.0,S,Second,man,True,NaN,True,0
877,3,male,19,0,0,7.8958,S,Third,man,True,NaN,True,0
364,3,male,NaN,1,0,15.5,Q,Third,man,True,NaN,False,0
456,1,male,65,0,0,26.55,S,First,man,True,E,True,0
192,3,female,19,1,0,7.8542,S,Third,woman,False,NaN,False,1
282,3,male,16,0,0,9.5,S,Third,man,True,NaN,True,0
160,3,male,44,0,1,16.1,S,Third,man,True,NaN,False,0
283,3,male,19,0,0,8.05,S,Third,man,True,NaN,True,1
654,3,female,18,0,0,6.75,Q,Third,woman,False,NaN,True,0
672,2,male,70,0,0,10.5,S,Second,man,True,NaN,True,0
635,2,female,28,0,0,13.0,S,Second,woman,False,NaN,True,1
537,1,female,30,0,0,106.425,C,First,woman,False,NaN,True,1
727,3,female,NaN,0,0,7.7375,Q,Third,woman,False,NaN,True,1
686,3,male,14,4,1,39.6875,S,Third,child,False,NaN,False,0
237,2,female,8,0,2,26.25,S,Second,child,False,NaN,False,1
455,3,male,29,0,0,7.8958,C,Third,man,True,NaN,True,1
409,3,female,NaN,3,1,25.4667,S,Third,woman,False,NaN,False,0
636,3,male,32,0,0,7.925,S,Third,man,True,NaN,True,0
760,3,male,NaN,0,0,14.5,S,Third,man,True,NaN,True,0
47,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
279,3,female,35,1,1,20.25,S,Third,woman,False,NaN,False,1
463,2,male,48,0,0,13.0,S,Second,man,True,NaN,True,0
293,3,female,24,0,0,8.85,S,Third,woman,False,NaN,True,0
130,3,male,33,0,0,7.8958,C,Third,man,True,NaN,True,0
853,1,female,16,0,1,39.4,S,First,woman,False,D,False,1
36,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,1
389,2,female,17,0,0,12.0,C,Second,woman,False,NaN,True,1
238,2,male,19,0,0,10.5,S,Second,man,True,NaN,True,0
485,3,female,NaN,3,1,25.4667,S,Third,woman,False,NaN,False,0
702,3,female,18,0,1,14.4542,C,Third,woman,False,NaN,False,0
350,3,male,23,0,0,9.225,S,Third,man,True,NaN,True,0
545,1,male,64,0,0,26.0,S,First,man,True,NaN,True,0
144,2,male,18,0,0,11.5,S,Second,man,True,NaN,True,0
388,3,male,NaN,0,0,7.7292,Q,Third,man,True,NaN,True,0
464,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
156,3,female,16,0,0,7.7333,Q,Third,woman,False,NaN,True,1
505,1,male,18,1,0,108.9,C,First,man,True,C,False,0
718,3,male,NaN,0,0,15.5,Q,Third,man,True,NaN,True,0
5,3,male,NaN,0,0,8.4583,Q,Third,man,True,NaN,True,0
278,3,male,7,4,1,29.125,Q,Third,child,False,NaN,False,0
676,3,male,24.5,0,0,8.05,S,Third,man,True,NaN,True,0
416,2,female,34,1,1,32.5,S,Second,woman,False,NaN,False,1
99,2,male,34,1,0,26.0,S,Second,man,True,NaN,False,0
162,3,male,26,0,0,7.775,S,Third,man,True,NaN,True,0
826,3,male,NaN,0,0,56.4958,S,Third,man,True,NaN,True,0
205,3,female,2,0,1,10.4625,S,Third,child,False,G,False,0
476,2,male,34,1,0,21.0,S,Second,man,True,NaN,False,0
438,1,male,64,1,4,263.0,S,First,man,True,C,False,0
500,3,male,17,0,0,8.6625,S,Third,man,True,NaN,True,0
848,2,male,28,0,1,33.0,S,Second,man,True,NaN,False,0
580,2,female,25,1,1,30.0,S,Second,woman,False,NaN,False,1
439,2,male,31,0,0,10.5,S,Second,man,True,NaN,True,0
251,3,female,29,1,1,10.4625,S,Third,woman,False,G,False,0
692,3,male,NaN,0,0,56.4958,S,Third,man,True,NaN,True,1
18,3,female,31,1,0,18.0,S,Third,woman,False,NaN,False,0
318,1,female,31,0,2,164.8667,S,First,woman,False,C,False,1
215,1,female,31,1,0,113.275,C,First,woman,False,D,False,1
532,3,male,17,1,1,7.2292,C,Third,man,True,NaN,False,0
799,3,female,30,1,1,24.15,S,Third,woman,False,NaN,False,0
127,3,male,24,0,0,7.1417,S,Third,man,True,NaN,True,1
105,3,male,28,0,0,7.8958,S,Third,man,True,NaN,True,0
303,2,female,NaN,0,0,12.35,Q,Second,woman,False,E,True,1
638,3,female,41,0,5,39.6875,S,Third,woman,False,NaN,False,0
804,3,male,27,0,0,6.975,S,Third,man,True,NaN,True,1
11,1,female,58,0,0,26.55,S,First,woman,False,C,True,1
691,3,female,4,0,1,13.4167,C,Third,child,False,NaN,False,1
524,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,0
203,3,male,45.5,0,0,7.225,C,Third,man,True,NaN,True,0
387,2,female,36,0,0,13.0,S,Second,woman,False,NaN,True,1
437,2,female,24,2,3,18.75,S,Second,woman,False,NaN,False,1
755,2,male,0.67,1,1,14.5,S,Second,child,False,NaN,False,1
704,3,male,26,1,0,7.8542,S,Third,man,True,NaN,False,0
800,2,male,34,0,0,13.0,S,Second,man,True,NaN,True,0
306,1,female,NaN,0,0,110.8833,C,First,woman,False,NaN,True,1
589,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
764,3,male,16,0,0,7.775,S,Third,man,True,NaN,True,0
499,3,male,24,0,0,7.7958,S,Third,man,True,NaN,True,0
617,3,female,26,1,0,16.1,S,Third,woman,False,NaN,False,0
313,3,male,28,0,0,7.8958,S,Third,man,True,NaN,True,0
860,3,male,41,2,0,14.1083,S,Third,man,True,NaN,False,0
121,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
355,3,male,28,0,0,9.5,S,Third,man,True,NaN,True,0
119,3,female,2,4,2,31.275,S,Third,child,False,NaN,False,0
354,3,male,NaN,0,0,7.225,C,Third,man,True,NaN,True,0
869,3,male,4,1,1,11.1333,S,Third,child,False,NaN,False,1
108,3,male,38,0,0,7.8958,S,Third,man,True,NaN,True,0
441,3,male,20,0,0,9.5,S,Third,man,True,NaN,True,0
783,3,male,NaN,1,2,23.45,S,Third,man,True,NaN,False,0
539,1,female,22,0,2,49.5,C,First,woman,False,B,False,1
536,1,male,45,0,0,26.55,S,First,man,True,B,True,0
123,2,female,32.5,0,0,13.0,S,Second,woman,False,E,True,1
481,2,male,NaN,0,0,0.0,S,Second,man,True,NaN,True,0
675,3,male,18,0,0,7.775,S,Third,man,True,NaN,True,0
473,2,female,23,0,0,13.7917,C,Second,woman,False,D,True,1
838,3,male,32,0,0,56.4958,S,Third,man,True,NaN,True,1
65,3,male,NaN,1,1,15.2458,C,Third,man,True,NaN,False,1
886,2,male,27,0,0,13.0,S,Second,man,True,NaN,True,0
578,3,female,NaN,1,0,14.4583,C,Third,woman,False,NaN,False,0
20,2,male,35,0,0,26.0,S,Second,man,True,NaN,True,0
343,2,male,25,0,0,13.0,S,Second,man,True,NaN,True,0
54,1,male,65,0,1,61.9792,C,First,man,True,B,False,0
864,2,male,24,0,0,13.0,S,Second,man,True,NaN,True,0
715,3,male,19,0,0,7.65,S,Third,man,True,F,True,0
561,3,male,40,0,0,7.8958,S,Third,man,True,NaN,True,0
741,1,male,36,1,0,78.85,S,First,man,True,C,False,0
644,3,female,0.75,2,1,19.2583,C,Third,child,False,NaN,False,1
369,1,female,24,0,0,69.3,C,First,woman,False,B,True,1
214,3,male,NaN,1,0,7.75,Q,Third,man,True,NaN,False,0
845,3,male,42,0,0,7.55,S,Third,man,True,NaN,True,0
383,1,female,35,1,0,52.0,S,First,woman,False,NaN,False,1
155,1,male,51,0,1,61.3792,C,First,man,True,NaN,False,0
514,3,male,24,0,0,7.4958,S,Third,man,True,NaN,True,0
874,2,female,28,1,0,24.0,C,Second,woman,False,NaN,False,1
404,3,female,20,0,0,8.6625,S,Third,woman,False,NaN,True,0
320,3,male,22,0,0,7.25,S,Third,man,True,NaN,True,0
145,2,male,19,1,1,36.75,S,Second,man,True,NaN,False,0
55,1,male,NaN,0,0,35.5,S,First,man,True,C,True,1
837,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
507,1,male,NaN,0,0,26.55,S,First,man,True,NaN,True,1
777,3,female,5,0,0,12.475,S,Third,child,False,NaN,True,1
533,3,female,NaN,0,2,22.3583,C,Third,woman,False,NaN,False,1
35,1,male,42,1,0,52.0,S,First,man,True,NaN,False,0
771,3,male,48,0,0,7.8542,S,Third,man,True,NaN,True,0
807,3,female,18,0,0,7.775,S,Third,woman,False,NaN,True,0
316,2,female,24,1,0,26.0,S,Second,woman,False,NaN,False,1
39,3,female,14,1,0,11.2417,C,Third,child,False,NaN,False,1
394,3,female,24,0,2,16.7,S,Third,woman,False,G,False,1
48,3,male,NaN,2,0,21.6792,C,Third,man,True,NaN,False,0
116,3,male,70.5,0,0,7.75,Q,Third,man,True,NaN,True,0
802,1,male,11,1,2,120.0,S,First,child,False,B,False,1
269,1,female,35,0,0,135.6333,S,First,woman,False,C,True,1
234,2,male,24,0,0,10.5,S,Second,man,True,NaN,True,0
687,3,male,19,0,0,10.1708,S,Third,man,True,NaN,True,0
146,3,male,27,0,0,7.7958,S,Third,man,True,NaN,True,1
289,3,female,22,0,0,7.75,Q,Third,woman,False,NaN,True,1
797,3,female,31,0,0,8.6833,S,Third,woman,False,NaN,True,1
111,3,female,14.5,1,0,14.4542,C,Third,child,False,NaN,False,0
329,1,female,16,0,1,57.9792,C,First,woman,False,B,False,1
151,1,female,22,1,0,66.6,S,First,woman,False,C,False,1
312,2,female,26,1,1,26.0,S,Second,woman,False,NaN,False,0
703,3,male,25,0,0,7.7417,Q,Third,man,True,NaN,True,0
386,3,male,1,5,2,46.9,S,Third,child,False,NaN,False,0
758,3,male,34,0,0,8.05,S,Third,man,True,NaN,True,0
190,2,female,32,0,0,13.0,S,Second,woman,False,NaN,True,1
722,2,male,34,0,0,13.0,S,Second,man,True,NaN,True,0
126,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,0
402,3,female,21,1,0,9.825,S,Third,woman,False,NaN,False,0
337,1,female,41,0,0,134.5,C,First,woman,False,E,True,1
87,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
74,3,male,32,0,0,56.4958,S,Third,man,True,NaN,True,1
384,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
226,2,male,19,0,0,10.5,S,Second,man,True,NaN,True,1
21,2,male,34,0,0,13.0,S,Second,man,True,D,True,1
338,3,male,45,0,0,8.05,S,Third,man,True,NaN,True,1
673,2,male,31,0,0,13.0,S,Second,man,True,NaN,True,1
468,3,male,NaN,0,0,7.725,Q,Third,man,True,NaN,True,0
453,1,male,49,1,0,89.1042,C,First,man,True,C,False,1
4,3,male,35,0,0,8.05,S,Third,man,True,NaN,True,0
857,1,male,51,0,0,26.55,S,First,man,True,E,True,1
112,3,male,22,0,0,8.05,S,Third,man,True,NaN,True,0
482,3,male,50,0,0,8.05,S,Third,man,True,NaN,True,0
624,3,male,21,0,0,16.1,S,Third,man,True,NaN,True,0
358,3,female,NaN,0,0,7.8792,Q,Third,woman,False,NaN,True,1
551,2,male,27,0,0,26.0,S,Second,man,True,NaN,True,0
324,3,male,NaN,8,2,69.55,S,Third,man,True,NaN,False,0
583,1,male,36,0,0,40.125,C,First,man,True,A,True,0
451,3,male,NaN,1,0,19.9667,S,Third,man,True,NaN,False,0
716,1,female,38,0,0,227.525,C,First,woman,False,C,True,1
106,3,female,21,0,0,7.65,S,Third,woman,False,NaN,True,1
448,3,female,5,2,1,19.2583,C,Third,child,False,NaN,False,1
367,3,female,NaN,0,0,7.2292,C,Third,woman,False,NaN,True,1
593,3,female,NaN,0,2,7.75,Q,Third,woman,False,NaN,False,0
622,3,male,20,1,1,15.7417,C,Third,man,True,NaN,False,1
373,1,male,22,0,0,135.6333,C,First,man,True,NaN,True,0
781,1,female,17,1,0,57.0,S,First,woman,False,B,False,1
535,2,female,7,0,2,26.25,S,Second,child,False,NaN,False,1
252,1,male,62,0,0,26.55,S,First,man,True,C,True,0
88,1,female,23,3,2,263.0,S,First,woman,False,C,False,1
674,2,male,NaN,0,0,0.0,S,Second,man,True,NaN,True,0
627,1,female,21,0,0,77.9583,S,First,woman,False,D,True,1
357,2,female,38,0,0,13.0,S,Second,woman,False,NaN,True,0
788,3,male,1,1,2,20.575,S,Third,child,False,NaN,False,1
412,1,female,33,1,0,90.0,Q,First,woman,False,C,False,1
79,3,female,30,0,0,12.475,S,Third,woman,False,NaN,True,1
429,3,male,32,0,0,8.05,S,Third,man,True,E,True,1
435,1,female,14,1,2,120.0,S,First,child,False,B,False,1
413,2,male,NaN,0,0,0.0,S,Second,man,True,NaN,True,0
834,3,male,18,0,0,8.3,S,Third,man,True,NaN,True,0
541,3,female,9,4,2,31.275,S,Third,child,False,NaN,False,0
515,1,male,47,0,0,34.0208,S,First,man,True,D,True,0
749,3,male,31,0,0,7.75,Q,Third,man,True,NaN,True,0
835,1,female,39,1,1,83.1583,C,First,woman,False,E,False,1
503,3,female,37,0,0,9.5875,S,Third,woman,False,NaN,True,0
594,2,male,37,1,0,26.0,S,Second,man,True,NaN,False,0
261,3,male,3,4,2,31.3875,S,Third,child,False,NaN,False,1
844,3,male,17,0,0,8.6625,S,Third,man,True,NaN,True,0
210,3,male,24,0,0,7.05,S,Third,man,True,NaN,True,0
699,3,male,42,0,0,7.65,S,Third,man,True,F,True,0
791,2,male,16,0,0,26.0,S,Second,man,True,NaN,True,0
60,3,male,22,0,0,7.2292,C,Third,man,True,NaN,True,0
824,3,male,2,4,1,39.6875,S,Third,child,False,NaN,False,0
576,2,female,34,0,0,13.0,S,Second,woman,False,NaN,True,1
768,3,male,NaN,1,0,24.15,Q,Third,man,True,NaN,False,0
118,1,male,24,0,1,247.5208,C,First,man,True,B,False,0
450,2,male,36,1,2,27.75,S,Second,man,True,NaN,False,0
301,3,male,NaN,2,0,23.25,Q,Third,man,True,NaN,False,1
352,3,male,15,1,1,7.2292,C,Third,child,False,NaN,False,0
221,2,male,27,0,0,13.0,S,Second,man,True,NaN,True,0
855,3,female,18,0,1,9.35,S,Third,woman,False,NaN,False,1
870,3,male,26,0,0,7.8958,S,Third,man,True,NaN,True,0
614,3,male,35,0,0,8.05,S,Third,man,True,NaN,True,0
748,1,male,19,1,0,53.1,S,First,man,True,D,False,0
167,3,female,45,1,4,27.9,S,Third,woman,False,NaN,False,0
665,2,male,32,2,0,73.5,S,Second,man,True,NaN,False,0
547,2,male,NaN,0,0,13.8625,C,Second,man,True,NaN,True,1
677,3,female,18,0,0,9.8417,S,Third,woman,False,NaN,True,1
211,2,female,35,0,0,21.0,S,Second,woman,False,NaN,True,1
446,2,female,13,0,1,19.5,S,Second,child,False,NaN,False,1
843,3,male,34.5,0,0,6.4375,C,Third,man,True,NaN,True,0
83,1,male,28,0,0,47.1,S,First,man,True,NaN,True,0
433,3,male,17,0,0,7.125,S,Third,man,True,NaN,True,0
431,3,female,NaN,1,0,16.1,S,Third,woman,False,NaN,False,1
415,3,female,NaN,0,0,8.05,S,Third,woman,False,NaN,True,0
207,3,male,26,0,0,18.7875,C,Third,man,True,NaN,True,1
472,2,female,33,1,2,27.75,S,Second,woman,False,NaN,False,1
323,2,female,22,1,1,29.0,S,Second,woman,False,NaN,False,1
885,3,female,39,0,5,29.125,Q,Third,woman,False,NaN,False,0
733,2,male,23,0,0,13.0,S,Second,man,True,NaN,True,0
197,3,male,42,0,1,8.4042,S,Third,man,True,NaN,False,0
778,3,male,NaN,0,0,7.7375,Q,Third,man,True,NaN,True,0
612,3,female,NaN,1,0,15.5,Q,Third,woman,False,NaN,False,1
736,3,female,48,1,3,34.375,S,Third,woman,False,NaN,False,0
100,3,female,28,0,0,7.8958,S,Third,woman,False,NaN,True,0
525,3,male,40.5,0,0,7.75,Q,Third,man,True,NaN,True,0
101,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
250,3,male,NaN,0,0,7.25,S,Third,man,True,NaN,True,0
255,3,female,29,0,2,15.2458,C,Third,woman,False,NaN,False,1
457,1,female,NaN,1,0,51.8625,S,First,woman,False,D,False,1
341,1,female,24,3,2,263.0,S,First,woman,False,C,False,1
353,3,male,25,1,0,17.8,S,Third,man,True,NaN,False,0
608,2,female,22,1,2,41.5792,C,Second,woman,False,NaN,False,1
258,1,female,35,0,0,512.3292,C,First,woman,False,NaN,True,1
705,2,male,39,0,0,26.0,S,Second,man,True,NaN,True,0
254,3,female,41,0,2,20.2125,S,Third,woman,False,NaN,False,0
656,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
201,3,male,NaN,8,2,69.55,S,Third,man,True,NaN,False,0
618,2,female,4,2,1,39.0,S,Second,child,False,F,False,1
84,2,female,17,0,0,10.5,S,Second,woman,False,NaN,True,1
52,1,female,49,1,0,76.7292,C,First,woman,False,D,False,1
104,3,male,37,2,0,7.925,S,Third,man,True,NaN,False,0
501,3,female,21,0,0,7.75,Q,Third,woman,False,NaN,True,0
484,1,male,25,1,0,91.0792,C,First,man,True,B,False,1
488,3,male,30,0,0,8.05,S,Third,man,True,NaN,True,0
779,1,female,43,0,1,211.3375,S,First,woman,False,B,False,1
737,1,male,35,0,0,512.3292,C,First,man,True,B,True,1
360,3,male,40,1,4,27.9,S,Third,man,True,NaN,False,0
516,2,female,34,0,0,10.5,S,Second,woman,False,F,True,1
809,1,female,33,1,0,53.1,S,First,woman,False,E,False,1
884,3,male,25,0,0,7.05,S,Third,man,True,NaN,True,0
262,1,male,52,1,1,79.65,S,First,man,True,E,False,0
876,3,male,20,0,0,9.8458,S,Third,man,True,NaN,True,0
849,1,female,NaN,1,0,89.1042,C,First,woman,False,C,False,1
188,3,male,40,1,1,15.5,Q,Third,man,True,NaN,False,0
400,3,male,39,0,0,7.925,S,Third,man,True,NaN,True,1
534,3,female,30,0,0,8.6625,S,Third,woman,False,NaN,True,0
246,3,female,25,0,0,7.775,S,Third,woman,False,NaN,True,0
787,3,male,8,4,1,29.125,Q,Third,child,False,NaN,False,0
300,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
818,3,male,43,0,0,6.45,S,Third,man,True,NaN,True,0
471,3,male,38,0,0,8.6625,S,Third,man,True,NaN,True,0
3,1,female,35,1,0,53.1,S,First,woman,False,C,False,1
871,1,female,47,1,1,52.5542,S,First,woman,False,D,False,1
168,1,male,NaN,0,0,25.925,S,First,man,True,NaN,True,0
619,2,male,26,0,0,10.5,S,Second,man,True,NaN,True,0
743,3,male,24,1,0,16.1,S,Third,man,True,NaN,False,0
683,3,male,14,5,2,46.9,S,Third,child,False,NaN,False,0
411,3,male,NaN,0,0,6.8583,Q,Third,man,True,NaN,True,0
292,2,male,36,0,0,12.875,C,Second,man,True,D,True,0
419,3,female,10,0,2,24.15,S,Third,child,False,NaN,False,0
856,1,female,45,1,1,164.8667,S,First,woman,False,NaN,False,1
609,1,female,40,0,0,153.4625,S,First,woman,False,C,True,1
599,1,male,49,1,0,56.9292,C,First,man,True,A,False,1
667,3,male,NaN,0,0,7.775,S,Third,man,True,NaN,True,0
739,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
275,1,female,63,1,0,77.9583,S,First,woman,False,D,False,1
64,1,male,NaN,0,0,27.7208,C,First,man,True,NaN,True,0
115,3,male,21,0,0,7.925,S,Third,man,True,NaN,True,0
265,2,male,36,0,0,10.5,S,Second,man,True,NaN,True,0
286,3,male,30,0,0,9.5,S,Third,man,True,NaN,True,1
558,1,female,39,1,1,79.65,S,First,woman,False,E,False,1
172,3,female,1,1,1,11.1333,S,Third,child,False,NaN,False,1
510,3,male,29,0,0,7.75,Q,Third,man,True,NaN,True,1
698,1,male,49,1,1,110.8833,C,First,man,True,C,False,0
467,1,male,56,0,0,26.55,S,First,man,True,NaN,True,0
613,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,0
16,3,male,2,4,1,29.125,Q,Third,child,False,NaN,False,0
143,3,male,19,0,0,6.75,Q,Third,man,True,NaN,True,0
519,3,male,32,0,0,7.8958,S,Third,man,True,NaN,True,0
346,2,female,40,0,0,13.0,S,Second,woman,False,NaN,True,1
224,1,male,38,1,0,90.0,S,First,man,True,C,False,1
270,1,male,NaN,0,0,31.0,S,First,man,True,NaN,True,0
43,2,female,3,1,2,41.5792,C,Second,child,False,NaN,False,1
178,2,male,30,0,0,13.0,S,Second,man,True,NaN,True,0
