,survived
809,1
884,0
262,0
876,0
849,1
188,0
400,1
534,0
246,0
787,0
300,1
818,0
471,0
3,1
871,1
168,0
619,0
743,0
683,0
411,0
292,0
419,0
856,1
609,1
599,1
667,0
739,0
275,1
64,0
115,0
265,0
286,1
558,1
172,1
510,1
698,0
467,0
613,0
16,0
143,0
519,0
346,1
224,1
270,0
43,1
178,0
297,0
823,1
639,0
334,1
879,1
375,1
821,1
646,0
32,1
291,1
610,0
158,0
582,0
726,1
430,1
347,1
295,0
240,0
708,1
336,0
789,0
526,1
666,0
132,0
281,0
426,1
494,0
424,0
761,0
391,1
449,1
496,1
129,0
872,0
45,0
30,0
842,1
401,0
759,1
166,1
689,1
805,0
193,1
225,0
707,1
827,1
22,1
408,0
814,0
522,0
267,1
377,0
550,1
721,0
772,0
661,0
717,1
53,1
878,0
671,0
309,1
750,1
153,0
330,1
697,1
744,1
724,1
180,0
643,1
259,1
664,1
660,1
328,1
684,0
746,0
15,1
0,0
351,0
73,0
405,0
229,0
148,0
796,1
290,1
63,0
795,0
417,1
825,0
97,1
222,0
559,1
713,0
731,0
442,0
775,0
302,0
8,1
880,1
288,1
423,0
767,0
572,1
552,0
253,0
122,0
710,1
139,0
179,0
230,1
889,1
92,0
277,0
752,0
734,0
605,0
159,0
227,0
183,1
395,0
212,0
447,1
10,1
585,1
655,0
554,1
670,1
458,1
77,0
133,1
170,0
782,0
770,0
425,0
709,1
571,1
850,0
461,0
562,0
492,0
307,1
247,1
546,1
273,0
231,0
658,0
509,1
368,1
641,1
615,1
852,0
103,0
274,1
498,0
883,0
113,0
440,1
393,1
365,0
678,0
164,0
753,0
136,1
244,0
575,0
887,1
125,1
700,1
147,0
213,0
154,0
591,1
808,0
854,0
832,0
859,0
565,0
652,0
581,1
85,1
195,1
794,0
863,0
595,0
568,0
31,1
117,0
135,0
266,0
260,0
428,0
669,1
725,0
181,0
276,0
607,1
102,0
649,1
56,1
465,0
333,0
647,1
497,0
57,0
157,0
840,0
206,0
728,0
376,1
81,1
235,0
204,1
813,0
80,0
820,1
690,1
310,1
577,1
626,0
502,0
67,0
14,0
730,1
747,1
137,0
382,0
474,0
882,0
444,1
44,1
645,1
163,0
208,1
847,0
2,1
579,1
816,0
720,1
521,0
361,0
866,1
248,1
841,0
142,1
512,1
173,0
573,1
592,0
191,0
305,1
829,1
66,1
742,1
176,0
694,0
315,1
220,1
7,0
831,1
600,1
601,0
120,0
140,0
695,0
833,0
199,0
59,0
50,0
538,0
723,0
602,0
486,1
642,0
588,0
75,0
548,0
38,0
555,0
511,0
508,0
631,0
161,1
76,0
806,0
287,0
272,1
696,0
198,1
379,0
493,0
688,0
738,0
858,1
839,1
566,0
518,1
653,1
735,0
219,0
